split,layer,fold,heldout_group,train_samples,test_samples,test_positive,auroc,accuracy,precision,recall,f1
source_id_group5,24,3,pkck_0005,190,47,22,0.9854545454545455,0.9361702127659575,0.9130434782608695,0.9545454545454546,0.9333333333333333
source_id_group5,24,4,pkck_0001,190,47,24,0.9981884057971014,0.9787234042553191,1.0,0.9583333333333334,0.9787234042553191
source_id_group5,25,0,pkck_0000,189,48,27,0.9929453262786596,0.9375,0.9615384615384616,0.9259259259259259,0.9433962264150944
source_id_group5,25,1,pkck_0004,189,48,28,0.9964285714285714,0.9375,0.9310344827586207,0.9642857142857143,0.9473684210526315
source_id_group5,25,2,pkck_0002,190,47,25,0.9781818181818182,0.9361702127659575,0.9583333333333334,0.92,0.9387755102040817
source_id_group5,25,3,pkck_0005,190,47,22,0.9781818181818182,0.9361702127659575,0.9130434782608695,0.9545454545454546,0.9333333333333333
source_id_group5,25,4,pkck_0001,190,47,24,0.9927536231884058,0.9574468085106383,1.0,0.9166666666666666,0.9565217391304348
source_id_group5,26,0,pkck_0000,189,48,27,0.9911816578483246,0.9375,1.0,0.8888888888888888,0.9411764705882353
source_id_group5,26,1,pkck_0004,189,48,28,0.9946428571428572,0.9583333333333334,0.9333333333333333,1.0,0.9655172413793104
source_id_group5,26,2,pkck_0002,190,47,25,0.9763636363636363,0.9148936170212766,0.9565217391304348,0.88,0.9166666666666666
source_id_group5,26,3,pkck_0005,190,47,22,0.9890909090909091,0.9361702127659575,0.9130434782608695,0.9545454545454546,0.9333333333333333
source_id_group5,26,4,pkck_0001,190,47,24,0.996376811594203,0.9574468085106383,1.0,0.9166666666666666,0.9565217391304348
source_id_group5,27,0,pkck_0000,189,48,27,0.9911816578483246,0.9583333333333334,1.0,0.9259259259259259,0.9615384615384616
source_id_group5,27,1,pkck_0004,189,48,28,0.9982142857142857,0.9791666666666666,1.0,0.9642857142857143,0.9818181818181818
source_id_group5,27,2,pkck_0002,190,47,25,0.98,0.9361702127659575,0.9583333333333334,0.92,0.9387755102040817
source_id_group5,27,3,pkck_0005,190,47,22,0.9781818181818183,0.9361702127659575,0.9130434782608695,0.9545454545454546,0.9333333333333333
source_id_group5,27,4,pkck_0001,190,47,24,1.0,0.9574468085106383,1.0,0.9166666666666666,0.9565217391304348
source_id_group5,28,0,pkck_0000,189,48,27,0.9911816578483246,0.9583333333333334,1.0,0.9259259259259259,0.9615384615384616
source_id_group5,28,1,pkck_0004,189,48,28,1.0,1.0,1.0,1.0,1.0
source_id_group5,28,2,pkck_0002,190,47,25,0.9836363636363636,0.9148936170212766,0.9565217391304348,0.88,0.9166666666666666
source_id_group5,28,3,pkck_0005,190,47,22,0.9727272727272727,0.9361702127659575,0.9130434782608695,0.9545454545454546,0.9333333333333333
source_id_group5,28,4,pkck_0001,190,47,24,1.0,0.9574468085106383,1.0,0.9166666666666666,0.9565217391304348
prompt_style_heldout,0,0,brief_qa,166,71,3,0.5,0.9577464788732394,0.0,0.0,0.0
prompt_style_heldout,0,2,quoted_context_then_question,172,65,22,0.5,0.3384615384615385,0.3384615384615385,1.0,0.5057471264367817
prompt_style_heldout,1,0,brief_qa,166,71,3,0.7352941176470588,0.7605633802816901,0.0625,0.3333333333333333,0.10526315789473684
prompt_style_heldout,1,2,quoted_context_then_question,172,65,22,0.8837209302325582,0.3384615384615385,0.3384615384615385,1.0,0.5057471264367817
prompt_style_heldout,2,0,brief_qa,166,71,3,0.7205882352941176,0.6056338028169014,0.06896551724137931,0.6666666666666666,0.125
prompt_style_heldout,2,2,quoted_context_then_question,172,65,22,0.8805496828752641,0.3384615384615385,0.3384615384615385,1.0,0.5057471264367817
prompt_style_heldout,3,0,brief_qa,166,71,3,0.8529411764705882,0.9577464788732394,0.0,0.0,0.0
prompt_style_heldout,3,2,quoted_context_then_question,172,65,22,0.7769556025369979,0.3384615384615385,0.3384615384615385,1.0,0.5057471264367817
prompt_style_heldout,4,0,brief_qa,166,71,3,0.7107843137254903,0.07042253521126761,0.043478260869565216,1.0,0.08333333333333333
prompt_style_heldout,4,2,quoted_context_then_question,172,65,22,0.7272727272727273,0.3384615384615385,0.3333333333333333,0.9545454545454546,0.49411764705882355
prompt_style_heldout,5,0,brief_qa,166,71,3,0.25,0.04225352112676056,0.04225352112676056,1.0,0.08108108108108109
